country name,"Government expenditure per student,Primary,% of GDP per capita,1999","Government expenditure per student,Primary,% of GDP per capita,2017","Government expenditure per student,Secondary,% of GDP per capita,1999","Government expenditure per student,Secondary,% of GDP per capita,2017","Government expenditure per student,Tertiary,% of GDP per capita,1999","Government expenditure per student,Tertiary,% of GDP per capita,2017","Government expenditure on education,% of GDP,2017","Government expenditure on education,% of total government expenditure,2017","Trained teachers,Primary,% of total,2017","Trained teachers,Secondary,% of total,2017","Pupil-teacher ratio,Primary,pupils per teacher,2017","Pupil-teacher ratio,Secondary,pupils per teacher,2017",Government expenditure per student Primary,Government expenditure per student Primary,Government expenditure per student Secondary,Government expenditure per student Secondary,Government expenditure per student Tertiary,Government expenditure per student Tertiary,Government expenditure on education Unnamed: 7_level_1,Government expenditure on education 2014-2017,Trained teachers 2014-2017,Trained teachers 2014-2017,Pupil-teacher ratio 2014-2017,Pupil-teacher ratio 2014-2017
Sri Lanka,..,10.1,..,10.4,..,26.4,2.8,14.5,85.5,82.3,23,17,..,10.1,..,10.4,..,26.4,2.8,14.5,85.5,82.3,23,17
St. Kitts and Nevis,14.4,5.9,..,19.6,..,6.6,2.8,8.6,72.0,61.7,14,8,14.4,5.9,..,19.6,..,6.6,2.8,8.6,72.0,61.7,14,8
St. Lucia,24.0,10.8,22.1,24.5,..,..,5.7,22.0,89.4,71.0,15,11,24.0,10.8,22.1,24.5,..,..,5.7,22.0,89.4,71.0,15,11
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,21.7,17.8,22.5,19.9,..,..,5.8,19.0,84.3,58.4,14,14,21.7,17.8,22.5,19.9,..,..,5.8,19.0,84.3,58.4,14,14
Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,..,..,..,..,..,..,..,..,98.4,71.3,13,12,..,..,..,..,..,..,..,..,98.4,71.3,13,12
Sweden,21.3,21.3,24.9,23.6,49.4,43.1,7.6,15.5,..,..,12,13,21.3,21.3,24.9,23.6,49.4,43.1,7.6,15.5,..,..,12,13
Switzerland,21.0,24.7,25.3,24.5,49.8,42.5,5.1,15.5,..,..,10,10,21.0,24.7,25.3,24.5,49.8,42.5,5.1,15.5,..,..,10,10
Syrian Arab Republic,11.1,..,21.6,..,..,..,..,..,..,..,..,..,11.1,..,21.6,..,..,..,..,..,..,..,..,..
Tajikistan,..,..,..,..,..,19.8,5.2,16.4,100.0,..,22,..,..,..,..,..,..,19.8,5.2,16.4,100.0,..,22,..
Tanzania,..,..,..,..,..,..,..,..,99.2,..,47,17,..,..,..,..,..,..,..,..,99.2,..,47,17
Thailand,17.5,..,18.8,..,35.3,..,..,..,100.0,100.0,16,24,17.5,..,18.8,..,35.3,..,..,..,100.0,100.0,16,24
Timor-Leste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,8.0,16.5,28.8,..,283.6,77.4,5.1,16.0,73.3,..,40,..,8.0,16.5,28.8,..,283.6,77.4,5.1,16.0,73.3,..,40,..
Tonga,9.2,..,..,..,..,..,..,..,92.5,58.7,22,15,9.2,..,..,..,..,..,..,..,92.5,58.7,22,15
Trinidad and Tobago,10.4,..,..,..,..,..,..,..,..,..,..,..,10.4,..,..,..,..,..,..,..,..,..,..,..
Tunisia,14.4,..,25.0,52.8,83.6,55.2,6.6,22.9,100.0,..,16,..,14.4,..,25.0,52.8,83.6,55.2,6.6,22.9,100.0,..,16,..
Turkey,..,14.3,..,11.5,34.2,32.2,4.3,12.8,..,..,18,18,..,14.3,..,11.5,34.2,32.2,4.3,12.8,..,..,18,18
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,..,..,..,..,..,..,3.3,..,..,97.6,..,10,..,..,..,..,..,..,3.3,..,..,97.6,..,10
Tuvalu,..,..,..,..,..,..,..,..,76.6,45.5,17,8,..,..,..,..,..,..,..,..,76.6,45.5,17,8
Uganda,..,..,..,..,..,..,2.6,12.0,79.6,..,43,..,..,..,..,..,..,..,2.6,12.0,79.6,..,43,..
Ukraine,65.1,26.3,..,25.7,36.5,38.6,5.0,12.4,86.8,..,13,7,65.1,26.3,..,25.7,36.5,38.6,5.0,12.4,86.8,..,13,7
United Arab Emirates,6.1,..,8.2,..,..,..,..,..,100.0,100.0,25,10,6.1,..,8.2,..,..,..,..,..,100.0,100.0,25,10
United Kingdom,12.3,25.7,21.1,19.0,22.8,36.9,5.5,13.9,..,..,15,19,12.3,25.7,21.1,19.0,22.8,36.9,5.5,13.9,..,..,15,19
United States,..,19.9,..,..,..,..,..,..,..,..,14,15,..,19.9,..,..,..,..,..,..,..,..,14,15
Uruguay,7.2,..,10.5,..,19.3,..,..,..,100.0,..,11,..,7.2,..,10.5,..,19.3,..,..,..,100.0,..,11,..
Uzbekistan,..,..,..,..,..,..,6.4,20.0,98.9,97.5,21,10,..,..,..,..,..,..,6.4,20.0,98.9,97.5,21,10
Vanuatu,11.2,13.2,71.0,20.5,105.6,..,4.7,11.8,..,..,27,21,11.2,13.2,71.0,20.5,105.6,..,4.7,11.8,..,..,27,21
"Venezuela, RB",..,18.5,..,15.3,..,..,..,..,..,..,..,..,..,18.5,..,15.3,..,..,..,..,..,..,..,..
Vietnam,..,..,..,..,..,..,..,..,99.7,..,20,..,..,..,..,..,..,..,..,..,99.7,..,20,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,..,..,5.3,..,100.0,100.0,25,20,..,..,..,..,..,..,5.3,..,100.0,100.0,25,20
"Yemen, Rep.",..,..,..,..,..,..,..,..,..,..,27,..,..,..,..,..,..,..,..,..,..,..,27,..
Zambia,6.5,..,..,..,..,..,..,..,98.8,..,42,..,6.5,..,..,..,..,..,..,..,98.8,..,42,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World,..,..,..,..,..,..,4.8,14.0,85.1,..,24,17,..,..,..,..,..,..,4.8,14.0,85.1,..,24,17
East Asia & Pacific,..,..,..,..,..,..,..,..,..,..,17,15,..,..,..,..,..,..,..,..,..,..,17,15
Europe & Central Asia,..,21.4,..,22.9,27.3,25.9,4.9,12.2,..,..,15,11,..,21.4,..,22.9,27.3,25.9,4.9,12.2,..,..,15,11
Latin America & Caribbean,11.6,15.0,13.1,15.6,..,..,4.5,17.1,88.5,79.7,21,16,11.6,15.0,13.1,15.6,..,..,4.5,17.1,88.5,79.7,21,16
Middle East & North Africa,..,..,..,..,..,..,..,..,84.8,82.6,21,15,..,..,..,..,..,..,..,..,84.8,82.6,21,15
North America,..,18.7,..,..,43.0,36.6,..,..,..,..,15,15,..,18.7,..,..,43.0,36.6,..,..,..,..,15,15
South Asia,..,8.0,12.9,11.1,97.9,29.9,3.4,15.1,69.6,..,35,28,..,8.0,12.9,11.1,97.9,29.9,3.4,15.1,69.6,..,35,28
Sub-Saharan Africa,..,..,..,..,..,..,4.0,15.6,62.8,52.0,38,21,..,..,..,..,..,..,4.0,15.6,62.8,52.0,38,21
Low income,..,..,..,..,..,..,3.8,15.1,74.2,55.4,39,22,..,..,..,..,..,..,3.8,15.1,74.2,55.4,39,22
Lower middle income,..,..,..,..,..,..,..,..,75.7,..,29,23,..,..,..,..,..,..,..,..,75.7,..,29,23
Upper middle income,..,..,..,..,..,..,4.3,13.9,..,..,19,14,..,..,..,..,..,..,4.3,13.9,..,..,19,14
High income,17.5,19.8,..,22.9,29.6,26.6,5.3,12.7,..,..,14,13,17.5,19.8,..,22.9,29.6,26.6,5.3,12.7,..,..,14,13
